ID,EMOTION,SITUATION
11001,joy,"During the period of falling in love, each time that we met and  especially when we had not met for a long time."
11001,fear,When I was involved in a traffic accident.
11001,anger,"When I was driving home after  several days of hard work, there  was a motorist ahead of me who was driving at 50 km/hour and  refused, despite his low speeed to let me overtake."
11001,sadness,When I lost the person who meant the most to me. 
11001,disgust,"The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down, and when the animal  screamed at the moment of death."
11001,shame,When I did not speak the truth.
11001,guilt,When I caused problems for somebody because he could not keep the  appointed time and this led to various consequences.
11002,joy,When I got a letter offering me the Summer job that I had applied  for.  
11002,fear,When I was going home alone one night in Paris and a man came up  behind me and asked me if I was not afraid to be out alone so  late at night.
11002,anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
11002,sadness,When my friends did not ask me to go to a New Year's party  with them.
11002,disgust,When I saw all the very drunk kids (13-14 years old) in town on  Walpurgis night.
11002,shame,When I could not remember what to say about a presentation task  at an accounts meeting.
11002,guilt,When my uncle and my neighbour came home under police escort.
11003,joy,[ On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.]
11003,fear,"Every time I imagine that someone I love or I could contact a  serious illness, even death."
11003,anger,When I had been obviously unjustly treated and had no possibility  of elucidating this.
11003,sadness,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.
11003,disgust,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.
11003,shame,When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings.
11003,guilt,I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered.
11004,joy,After my girlfriend had taken her exam we went to her parent's  place.
11004,fear,"When, for the first time I realized the meaning of death."
11004,anger,When a car is overtaking another and I am forced to drive off the  road.
11004,sadness,"When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand."
11004,disgust,When I found a bristle in the liver paste tube.
11004,shame,"When I was tired and unmotivated, I shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important."
11004,guilt,When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time.
11005,joy,When I pass an examination which I did not think I did well.
11005,fear,"When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident."
11005,anger,When one is unjustly accused of something one has not done.
11005,sadness,When one's studies seem hopelessly difficult and uninteresting.  
11005,disgust,"When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted."
11005,shame,"When one has been unjust, stupid towards someone else. "
11005,guilt,When one has neglected or been unjust to a good friend.
11006,joy,Passing an exam I did not expect to pass.
11006,fear,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.
11006,anger,Friends who torture animals.
11006,sadness,[ Same as in anger.]
11006,disgust,Friends who torture animals.
11006,shame,[ Same as above - friends who torture animals.]
11006,guilt,[ When excuses are necessary and I get out of doing it myself.]
11007,joy,When I had my children.
11007,fear,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.
11007,anger,When my partner was attacked and lost three teeth.
11007,sadness,When I see children on T.V from areas devastated by drought and  war.
11007,disgust,When I nearly walked on a blindworm and then saw it crawl away.
11007,shame,When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me.
11007,guilt,"I experience a sense of guilt as my middle son cannot express  himself like other children, neither verbally nor in writing."
11008,joy,When my child was born.
11008,fear,"It was winter/spring and the ice was melting.  I was far out on a  jetty and I poked the ice with a long branch to try and break it.   The branch went through the ice and I fell in, the water closed  in over my head."
11008,anger,"Unjust accusations directed at me and my way of acting, by  someone close to me.  "
