ID,SITUATION,EMOTION,predicted_emotion
11001,"During the period of falling in love, each time that we met and  especially when we had not met for a long time.",joy,joy
11001,When I was involved in a traffic accident.,fear,sadness
11001,"When I was driving home after  several days of hard work, there  was a motorist ahead of me who was driving at 50 km/hour and  refused, despite his low speeed to let me overtake.",anger,anger
11001,When I lost the person who meant the most to me. ,sadness,sadness
11001,"The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down, and when the animal  screamed at the moment of death.",disgust,sadness
11001,When I did not speak the truth.,shame,sadness
11001,When I caused problems for somebody because he could not keep the  appointed time and this led to various consequences.,guilt,sadness
11002,When I got a letter offering me the Summer job that I had applied  for.  ,joy,joy
11002,When I was going home alone one night in Paris and a man came up  behind me and asked me if I was not afraid to be out alone so  late at night.,fear,fear
11002,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger,sadness
11002,When my friends did not ask me to go to a New Year's party  with them.,sadness,sadness
11002,When I saw all the very drunk kids (13-14 years old) in town on  Walpurgis night.,disgust,fear
11002,When I could not remember what to say about a presentation task  at an accounts meeting.,shame,sadness
11002,When my uncle and my neighbour came home under police escort.,guilt,fear
11003,[ On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.],joy,joy
11003,"Every time I imagine that someone I love or I could contact a  serious illness, even death.",fear,sadness
11003,When I had been obviously unjustly treated and had no possibility  of elucidating this.,anger,sadness
11003,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.,sadness,sadness
11003,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.,disgust,sadness
11003,When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings.,shame,sadness
11003,I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered.,guilt,guilt
11004,After my girlfriend had taken her exam we went to her parent's  place.,joy,joy
11004,"When, for the first time I realized the meaning of death.",fear,sadness
11004,When a car is overtaking another and I am forced to drive off the  road.,anger,fear
11004,"When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand.",sadness,sadness
11004,When I found a bristle in the liver paste tube.,disgust,disgust
11004,"When I was tired and unmotivated, I shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important.",shame,sadness
11004,When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time.,guilt,sadness
11005,When I pass an examination which I did not think I did well.,joy,sadness
11005,"When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident.",fear,fear
11005,When one is unjustly accused of something one has not done.,anger,sadness
11005,When one's studies seem hopelessly difficult and uninteresting.  ,sadness,sadness
11005,"When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted.",disgust,disgust
11005,"When one has been unjust, stupid towards someone else. ",shame,anger
11005,When one has neglected or been unjust to a good friend.,guilt,sadness
11006,Passing an exam I did not expect to pass.,joy,sadness
11006,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.,fear,sadness
11006,Friends who torture animals.,anger,disgust
11006,[ Same as in anger.],sadness,anger
11006,Friends who torture animals.,disgust,disgust
11006,[ Same as above - friends who torture animals.],shame,anger
11006,[ When excuses are necessary and I get out of doing it myself.],guilt,anger
11007,When I had my children.,joy,sadness
11007,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.,fear,joy
11007,When my partner was attacked and lost three teeth.,anger,sadness
11007,When I see children on T.V from areas devastated by drought and  war.,sadness,sadness
11007,When I nearly walked on a blindworm and then saw it crawl away.,disgust,fear
11007,When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me.,shame,guilt
11007,"I experience a sense of guilt as my middle son cannot express  himself like other children, neither verbally nor in writing.",guilt,guilt
11008,When my child was born.,joy,joy
11008,"It was winter/spring and the ice was melting.  I was far out on a  jetty and I poked the ice with a long branch to try and break it.   The branch went through the ice and I fell in, the water closed  in over my head.",fear,fear
11008,"Unjust accusations directed at me and my way of acting, by  someone close to me.  ",anger,anger
11008,Failing an examination.,sadness,sadness
11008,"A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness.",disgust,sadness
11008,"When, as an adult I have been caught lying or behaving badly.",shame,sadness
